fragility_risk_flex,fragility_prob,change_permanent_employment,change_temporary_employment,revenue_volatility,capacity_utilization_change,internet_for_business,external_finance_assets,delayed_client_payments,late_supplier_payments,digital_platform_difficulty,ecommerce_share,sector,firm_size,manager_experience_years,omega_score,fragility_label,revenue_volatility_binary,digital_platform_difficulty_binary
0,0.013295408,2,,2,2,1,1,70,30,1,40,2,1,5,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,90,0,1,75,3,1,5,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,4,4,90,0,2,2,3,1,35,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,0,3,1,3,0.0096811233,Non-fragile,0,1
1,0.013295408,1,-9.0,2,2,4,4,100,0,1,100,3,1,8,0.013295408,Fragile,1,0
0,0.013295408,2,,2,2,4,4,100,0,1,25,3,1,37,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,80,3,2,6,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,2,100,0,1,50,2,1,3,0.013295408,Non-fragile,1,0
1,0.83337283,1,2.0,2,2,1,3,39,10,2,10,3,3,20,0.83337283,Fragile,1,1
0,0.013295408,1,2.0,2,2,4,3,97,0,1,20,1,1,3,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,3,70,30,1,80,3,2,21,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,100,0,1,70,1,1,2,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,4,4,95,0,1,95,2,1,4,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,3,70,30,1,70,3,3,30,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,80,0,1,30,3,2,32,0.013295408,Non-fragile,1,0
0,0.013295408,1,2.0,2,2,4,4,100,0,1,70,3,1,16,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,2,1,70,30,1,78,2,2,5,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,4,4,90,0,1,70,2,2,30,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,4,65,25,2,50,2,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,1,4,90,10,1,68,3,3,78,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,4,50,0,1,80,1,1,3,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,1,1,4,60,0,1,80,3,1,6,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,4,70,30,1,90,3,3,300,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,2,,1,2,4,4,100,0,1,70,1,1,30,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,-9,4,100,0,2,50,3,2,-9,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,1,3,1,2,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,4,100,0,1,20,1,3,12,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,1,4,85,0,1,70,1,1,10,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,100,0,2,50,1,1,6,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,4,4,100,0,1,70,2,1,5,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,4,4,90,0,1,85,3,1,12,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,1,60,40,1,90,1,2,5,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,80,3,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,85,0,1,75,2,2,11,2.6336633e-05,Non-fragile,0,0
0,0.83337283,1,1.0,2,2,4,1,50,0,2,90,3,2,7,0.83337283,Non-fragile,1,1
0,0.013295408,1,1.0,2,2,2,1,60,10,1,100,3,3,20,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,1,1,90,10,2,85,2,1,5,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,4,100,0,1,30,2,1,4,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,4,4,40,0,2,80,3,2,50,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,2,1,60,5,1,65,2,2,11,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,2,1,100,0,2,80,3,1,1,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,1,30,70,2,90,3,1,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,1,60,25,1,60,2,2,5,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,2,70,30,1,75,2,2,50,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,4,4,70,30,2,1,3,1,2,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,1,85,15,2,50,2,1,3,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,1,50,0,2,80,2,1,1,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,1,1,30,50,1,75,3,3,15,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,100,0,2,15,3,1,1,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,1,70,30,1,20,2,3,15,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,1,3,4,30,70,1,98,1,3,456,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,2,35,60,1,75,3,3,4,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,-9.0,1,2,1,4,80,20,1,89,1,3,150,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,4,75,0,1,75,3,1,3,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,1,70,20,1,70,3,2,15,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,100,0,1,70,2,1,4,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,100,0,1,30,1,3,480,0.013295408,Non-fragile,1,0
0,0.013295408,1,1.0,2,2,1,3,20,70,1,95,3,1,15,0.013295408,Non-fragile,1,0
0,0.83337283,1,1.0,2,1,4,4,92,0,2,75,1,2,4,0.83337283,Non-fragile,1,1
0,0.013295408,2,,2,2,4,4,100,0,1,30,3,1,3,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,1,4,40,0,1,80,1,1,4,0.013295408,Non-fragile,1,0
0,0.013295408,1,1.0,2,2,4,4,100,0,1,96,3,2,3,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,5,1,2,5,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,1,3,3,70,30,1,100,1,1,10,2.6336633e-05,Non-fragile,0,0
1,0.83337283,1,2.0,2,2,4,4,90,0,2,90,3,1,5,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,90,3,1,5,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,1.0,2,2,4,4,40,0,1,60,3,1,4,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,1,4,25,75,1,75,3,2,10,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,1,80,0,2,80,3,1,14,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,85,2,1,14,0.0096811233,Non-fragile,0,1
0,0.83337283,1,1.0,2,2,1,4,0,0,2,50,3,1,3,0.83337283,Non-fragile,1,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,75,2,1,7,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,4,60,0,2,65,1,1,4,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,2,,1,2,4,4,50,0,1,75,2,1,8,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,4,100,0,1,40,2,1,7,0.013295408,Non-fragile,1,0
0,0.83337283,1,1.0,2,1,4,4,100,0,2,5,3,1,14,0.83337283,Non-fragile,1,1
0,0.0096811233,1,1.0,1,2,4,1,40,60,2,70,3,1,2,0.0096811233,Non-fragile,0,1
1,0.83337283,1,2.0,2,2,4,4,80,0,2,90,2,1,3,0.83337283,Fragile,1,1
0,0.0096811233,1,2.0,1,2,1,4,80,20,2,45,2,1,2,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,60,40,2,70,2,1,1,0.83337283,Fragile,1,1
0,0.0096811233,1,1.0,1,2,1,1,100,0,2,90,1,2,4,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,1,4,70,25,1,80,1,2,5,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,1,30,40,2,40,3,1,5,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,100,0,2,40,3,1,5,0.83337283,Fragile,1,1
0,0.013295408,1,2.0,2,2,4,4,100,0,1,80,3,1,12,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,1,4,100,0,1,99,1,2,26,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,50,0,2,20,3,1,6,0.83337283,Fragile,1,1
0,2.6336633e-05,1,2.0,1,2,1,4,70,30,1,95,1,2,6,2.6336633e-05,Non-fragile,0,0
0,0.83337283,1,1.0,2,2,4,4,20,0,2,2,1,1,3,0.83337283,Non-fragile,1,1
1,0.83337283,2,,2,2,1,1,60,20,2,60,1,2,10,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,1,60,40,2,3,1,2,3,0.83337283,Fragile,1,1
0,0.0096811233,1,1.0,1,1,1,1,30,70,2,95,1,3,160,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,1,1,65,35,2,5,1,2,48,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,1,4,50,0,1,30,1,1,2,2.6336633e-05,Non-fragile,0,0
0,0.83337283,1,1.0,2,2,1,1,100,0,2,100,3,1,5,0.83337283,Non-fragile,1,1
1,0.83337283,2,,2,2,1,1,65,0,2,55,1,2,5,0.83337283,Fragile,1,1
0,2.6336633e-05,2,,1,2,4,1,80,0,1,35,2,2,7,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,2,1,60,0,2,20,1,1,4,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,4,80,0,2,40,1,1,11,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,1,1,70,30,1,60,1,1,6,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,2,,1,2,1,4,75,20,1,1,1,3,30,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,1,75,0,2,55,1,1,4,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,4,60,40,2,40,1,2,15,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,60,0,2,70,3,1,3,0.83337283,Fragile,1,1
0,0.0096811233,1,1.0,1,2,1,4,60,40,2,60,1,2,10,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,1,4,4,60,30,2,90,2,1,6,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,70,1,2,25,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,1,1,4,30,50,2,60,1,2,2,0.0096811233,Non-fragile,0,1
0,0.83337283,1,1.0,2,2,1,1,50,35,2,80,3,1,13,0.83337283,Non-fragile,1,1
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,55,3,2,25,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,1,1,60,0,1,80,3,2,3,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,4,60,40,2,60,2,1,8,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,4,70,30,2,60,1,2,15,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,50,50,2,80,3,1,6,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,1,70,0,2,60,3,1,6,0.83337283,Fragile,1,1
0,2.6336633e-05,1,2.0,1,2,1,4,100,0,1,92,3,2,29,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,95,3,2,21,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,4,1,65,10,1,60,2,2,10,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,2,4,70,20,1,80,2,2,15,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,1,70,10,2,10,1,2,2,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,1,70,30,2,60,3,1,6,0.83337283,Fragile,1,1
0,0.013295408,1,1.0,2,2,4,4,70,30,1,80,3,1,5,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,40,1,1,3,0.0096811233,Non-fragile,0,1
