fragility_risk_flex,fragility_prob
0,0.013295408
0,0.013295408
0,0.0096811233
0,0.0096811233
1,0.013295408
0,0.013295408
0,0.0096811233
0,0.013295408
1,0.83337283
0,0.013295408
0,0.013295408
0,0.013295408
0,2.6336633e-05
0,0.013295408
0,0.013295408
0,0.013295408
0,2.6336633e-05
0,2.6336633e-05
0,0.0096811233
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
0,0.013295408
0,2.6336633e-05
1,0.83337283
0,0.013295408
0,2.6336633e-05
0,2.6336633e-05
0,0.0096811233
0,2.6336633e-05
0,0.83337283
0,0.013295408
0,0.0096811233
0,0.013295408
1,0.83337283
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
0,2.6336633e-05
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,2.6336633e-05
1,0.83337283
0,0.013295408
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
0,0.013295408
0,0.013295408
0,0.013295408
0,0.013295408
0,0.83337283
0,0.013295408
0,0.013295408
0,0.013295408
0,2.6336633e-05
0,2.6336633e-05
1,0.83337283
0,2.6336633e-05
0,0.013295408
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
0,0.83337283
0,2.6336633e-05
0,0.0096811233
0,2.6336633e-05
0,0.013295408
0,0.83337283
0,0.0096811233
1,0.83337283
0,0.0096811233
1,0.83337283
0,0.0096811233
0,2.6336633e-05
0,0.0096811233
1,0.83337283
0,0.013295408
0,2.6336633e-05
1,0.83337283
0,2.6336633e-05
0,0.83337283
1,0.83337283
1,0.83337283
0,0.0096811233
1,0.83337283
0,2.6336633e-05
0,0.83337283
1,0.83337283
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
0,2.6336633e-05
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
1,0.83337283
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,0.83337283
0,0.0096811233
0,2.6336633e-05
0,0.0096811233
0,0.0096811233
1,0.83337283
1,0.83337283
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
0,2.6336633e-05
1,0.83337283
1,0.83337283
0,0.013295408
0,0.0096811233
0,0.013295408
0,0.0096811233
0,2.6336633e-05
1,0.83337283
0,0.0096811233
0,0.83337283
1,0.83337283
0,0.013295408
0,2.6336633e-05
0,0.013295408
0,0.013295408
1,0.83337283
0,2.6336633e-05
1,0.83337283
0,0.013295408
0,0.83337283
0,0.013295408
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,0.0096811233
0,0.013295408
1,0.83337283
0,0.013295408
0,0.0096811233
0,0.013295408
0,0.013295408
0,0.0096811233
0,0.013295408
0,0.013295408
