fragility_risk_flex,omega_score,h1,h2,h5,h8,k82,k162,k3a,k3bc,c22b,k33,a4a,a6a,b6
0,0.1731844,No,,No,No,No,No,100,0,Yes,70,Manufacturing,Medium,7
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, a loan only","Yes, a loan only",30,70,Yes,80,Retail,Medium,4
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",0,0,No,40,Retail,Small,2
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,0,Other Services,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",80,0,No,80,Other Services,Small,14
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,80,0,No,40,Manufacturing,Small,11
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,80,Other Services,Medium,6
0,0.1731844,Yes,Yes,Yes,No,"Yes, a line of credit only",No,80,0,Yes,40,Retail,Medium,20
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,75,25,Yes,80,Manufacturing,Medium,20
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,10,90,No,100,Manufacturing,Small,5
0,0.1731844,Yes,No,No,No,No,No,100,0,Yes,80,Other Services,Small,4
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,60,40,No,30,Retail,Small,3
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",50,30,Yes,10,Other Services,Medium,9
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,45,Other Services,Large,58
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",100,0,No,100,Retail,Medium,40
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,100,0,No,55,Retail,Small,2
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, a loan only","Yes, a loan only",30,70,No,100,Manufacturing,Small,2
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only","Yes, a loan only",50,0,No,30,Other Services,Small,1
0,0.1731844,No,,No,No,No,No,70,30,Yes,80,Other Services,Medium,12
0,0.1731844,Yes,Yes,No,No,No,No,100,0,Yes,90,Other Services,Medium,30
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,90,Other Services,Medium,16
0,0.1731844,No,,No,No,No,No,100,0,Yes,2,Manufacturing,Medium,2
0,0.1731844,Yes,No,Yes,No,No,No,70,30,No,1,Other Services,Small,2
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,100,0,Yes,100,Manufacturing,Large,560
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, a loan only",No,60,0,Yes,80,Other Services,Small,6
0,0.1731844,No,,Yes,No,"Yes, both a line of credit and a loan","Yes, a loan only",10,90,Yes,50,Retail,Large,15
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",50,0,No,55,Manufacturing,Medium,10
0,0.1731844,No,,No,No,No,No,100,0,Yes,80,Other Services,Medium,25
0,0.1731844,No,,Yes,No,No,No,100,0,Yes,60,Other Services,Medium,31
0,0.1731844,No,,No,No,No,"Yes, both a line of credit and a loan",70,30,Yes,80,Other Services,Medium,21
0,0.1731844,No,,No,No,No,"Yes, both a line of credit and a loan",70,30,Yes,70,Other Services,Large,30
0,0.1731844,Yes,No,Yes,Yes,No,No,60,30,No,90,Retail,Small,6
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",60,0,No,10,Retail,Small,2
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only",No,50,40,No,90,Manufacturing,Large,40
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,70,30,No,60,Other Services,Medium,10
0,0.1731844,No,,Yes,No,No,"Yes, a line of credit only",80,0,Yes,35,Retail,Small,4
0,0.1731844,No,,No,Yes,"Yes, a loan only",No,70,0,Yes,80,Retail,Medium,5
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",60,20,No,3,Manufacturing,Large,5
0,0.1731844,Yes,Yes,No,No,"Yes, a line of credit only","Yes, a loan only",70,10,Yes,100,Other Services,Medium,6
0,0.1731844,No,,Yes,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,80,Retail,Small,1
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, both a line of credit and a loan",52,28,Yes,20,Manufacturing,Large,8
0,0.1731844,No,,Yes,No,No,"Yes, a loan only",80,0,Yes,35,Retail,Medium,7
0,0.1731844,Yes,Yes,No,Yes,"Yes, a loan only","Yes, both a line of credit and a loan",60,40,Yes,15,Retail,Large,56
0,0.1731844,No,,No,No,No,No,100,0,Yes,30,Retail,Small,4
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",100,0,Yes,70,Other Services,Medium,8
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",45,20,Yes,90,Manufacturing,Medium,35
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a line of credit only",60,40,Yes,40,Other Services,Medium,40
0,0.1731844,Yes,Yes,No,No,No,No,20,0,No,2,Manufacturing,Small,3
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",75,0,No,55,Manufacturing,Small,4
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, a loan only","Yes, a loan only",30,70,No,95,Manufacturing,Large,160
0,0.1731844,Yes,No,No,No,"Yes, both a line of credit and a loan",No,100,0,Yes,95,Manufacturing,Large,110
0,0.1731844,Yes,No,Yes,Yes,"Yes, a loan only","Yes, a loan only",80,20,Yes,98,Other Services,Large,80
0,0.1731844,Yes,Yes,Yes,No,No,No,70,0,Yes,75,Other Services,Small,12
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,70,Other Services,Medium,8
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,75,0,Yes,75,Other Services,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a line of credit only",35,60,Yes,75,Other Services,Large,4
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a line of credit only",100,0,No,80,Other Services,Large,120
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, a loan only","Yes, a line of credit only",60,40,Yes,98,Manufacturing,Large,Don't know (spontaneous)
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a line of credit only",70,30,Yes,75,Retail,Medium,50
0,0.1731844,Yes,No,Yes,No,No,No,70,0,No,50,Retail,Small,4
0,0.1731844,No,,No,No,No,"Yes, a loan only",80,15,Yes,90,Retail,Small,3
0,0.1731844,No,,No,No,"Yes, a loan only",No,60,40,Yes,4,Manufacturing,Medium,12
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,30,60,No,40,Retail,Small,4
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",40,60,No,50,Retail,Small,6
0,0.1731844,No,,No,No,No,No,100,0,Yes,70,Manufacturing,Small,2
0,0.1731844,No,,No,No,No,No,100,0,Yes,20,Manufacturing,Small,6
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, a loan only","Yes, a loan only",90,5,Yes,90,Manufacturing,Large,15
0,0.1731844,No,,No,No,No,No,100,0,Yes,75,Other Services,Medium,14
0,0.1731844,No,,No,No,No,No,85,0,Yes,60,Other Services,Medium,10
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,20,80,No,95,Other Services,Large,Don't know (spontaneous)
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,40,Manufacturing,Large,40
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,90,10,Yes,95,Manufacturing,Medium,Don't know (spontaneous)
0,0.1731844,Yes,No,Yes,No,No,"Yes, a loan only",60,25,Yes,60,Retail,Medium,5
0,0.1731844,Yes,Yes,Yes,No,"Yes, a line of credit only",No,70,20,Yes,80,Retail,Medium,15
0,0.1731844,Yes,No,Yes,No,"Yes, a line of credit only","Yes, a line of credit only",25,75,No,95,Manufacturing,Medium,24
0,0.1731844,No,,No,Yes,No,"Yes, a loan only",60,30,Yes,Don't know (spontaneous),Other Services,Medium,5
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,Yes,60,Retail,Small,6
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,65,25,No,50,Retail,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,90,10,Yes,68,Other Services,Large,78
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,50,0,Yes,80,Manufacturing,Small,3
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,Yes,90,Manufacturing,Large,486
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,Yes,90,Manufacturing,Medium,6
0,0.1731844,Yes,Yes,No,No,"Yes, a line of credit only","Yes, a line of credit only",72,0,Yes,30,Manufacturing,Medium,5
0,0.1731844,Yes,No,Yes,No,"Yes, both a line of credit and a loan","Yes, a loan only",25,60,No,80,Manufacturing,Large,156
0,0.1731844,No,,No,No,No,No,100,0,Yes,20,Manufacturing,Large,12
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,85,0,Yes,70,Manufacturing,Small,10
0,0.1731844,Yes,Don't know (spontaneous),Yes,No,"Yes, a loan only",No,80,20,Yes,89,Manufacturing,Large,150
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,70,Manufacturing,Medium,25
0,0.1731844,Yes,No,Yes,Yes,"Yes, a loan only",No,30,50,No,60,Manufacturing,Medium,2
0,0.1731844,Yes,No,Yes,No,No,No,85,0,Yes,75,Retail,Medium,11
0,0.1731844,Yes,No,Yes,No,"Yes, a line of credit only","Yes, a loan only",70,30,Yes,78,Retail,Medium,5
0,0.1731844,No,,Yes,No,No,No,100,0,Yes,70,Manufacturing,Small,30
0,0.1731844,Yes,No,Yes,No,No,"Yes, a loan only",70,0,No,55,Manufacturing,Large,42
