financial_access_F,digital_presence_D,ecommerce_E,risk_finance,risk_digital,risk_ecommerce,fragility_formula,fragility_supplied,omega_1,omega_2,omega_3
0.0,0.7,0.3,1,0,0,0,0,0.33999999999999997,0.36,0.425
0.0,0.875,0.0,1,0,1,1,0,0.35000000000000003,0.2625,0.4375
0.75,0.01,0.0,0,1,1,1,0,0.30400000000000005,0.15300000000000002,0.1925
0.75,0.0,0.0,0,1,1,1,0,0.30000000000000004,0.15000000000000002,0.1875
0.25,1.0,0.0,0,0,1,0,1,0.5,0.35,0.5625
0.0,0.625,0.0,1,0,1,1,0,0.25,0.1875,0.3125
0.75,0.4,0.0,0,0,1,0,0,0.4600000000000001,0.27,0.3875
0.0,0.75,0.0,1,0,1,1,0,0.30000000000000004,0.22499999999999998,0.375
0.25,0.05,0.1,0,1,0,0,1,0.14,0.115,0.11249999999999999
0.25,0.6,0.0,0,0,1,0,0,0.33999999999999997,0.22999999999999998,0.3625
0.0,0.9,0.3,1,0,0,0,0,0.42000000000000004,0.42000000000000004,0.525
0.0,0.85,0.0,1,0,1,1,0,0.34,0.255,0.425
0.5,0.975,0.0,0,0,1,0,0,0.5900000000000001,0.39249999999999996,0.6125
0.0,0.85,0.3,1,0,0,0,0,0.4,0.405,0.5
0.0,0.65,0.0,1,0,1,1,0,0.26,0.195,0.325
0.25,0.85,0.0,0,0,1,0,0,0.44000000000000006,0.305,0.4875
0.5,0.89,0.3,0,0,0,0,0,0.6160000000000001,0.517,0.645
0.5,0.85,0.0,0,0,1,0,0,0.54,0.355,0.55
0.5,0.25,0.25,0,1,0,0,0,0.35000000000000003,0.3,0.3125
0.5,0.8400000000000001,0.1,0,0,0,0,0,0.556,0.40199999999999997,0.5700000000000001
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
1.0,0.9,0.0,0,0,1,0,0,0.76,0.47000000000000003,0.7
0.5,0.95,0.3,0,0,0,0,0,0.6400000000000001,0.535,0.6749999999999999
0.25,0.85,0.0,0,0,1,0,0,0.44000000000000006,0.305,0.4875
0.5,0.25,0.0,0,1,1,1,0,0.30000000000000004,0.175,0.25
0.75,0.005,0.0,0,1,1,1,0,0.30200000000000005,0.15150000000000002,0.19
0.0,0.6,0.0,1,0,1,1,0,0.24,0.18,0.3
0.5,0.85,0.0,0,0,1,0,0,0.54,0.355,0.55
0.0,0.25,0.0,1,1,1,1,1,0.1,0.075,0.125
0.0,0.85,0.0,1,0,1,1,0,0.34,0.255,0.425
0.5,0.925,0.0,0,0,1,0,0,0.5700000000000001,0.37750000000000006,0.5875
0.75,0.95,0.4,0,0,0,0,0,0.76,0.635,0.7625
0.75,0.4,0.0,0,0,1,0,0,0.4600000000000001,0.27,0.3875
0.5,0.875,0.0,0,0,1,0,0,0.55,0.36250000000000004,0.5625
0.5,0.45,0.0,0,0,1,0,0,0.38,0.23500000000000001,0.35
0.5,1.0,0.1,0,0,0,0,0,0.6200000000000001,0.45,0.65
0.75,0.425,0.1,0,0,0,0,0,0.4900000000000001,0.3275,0.42500000000000004
0.0,0.65,0.0,1,0,1,1,0,0.26,0.195,0.325
0.0,0.4,0.0,1,0,1,1,1,0.16000000000000003,0.12,0.2
0.75,0.825,0.05,0,0,1,0,0,0.6400000000000001,0.4225,0.6124999999999999
0.75,0.4,0.0,0,0,1,0,0,0.4600000000000001,0.27,0.3875
0.5,0.45,0.7,0,0,0,0,0,0.52,0.585,0.5249999999999999
0.5,0.8,0.25,0,0,0,0,0,0.5700000000000001,0.46499999999999997,0.5875
0.75,0.875,0.3,0,0,0,0,0,0.7100000000000002,0.5625,0.7
0.5,0.005,0.3,0,1,0,0,0,0.262,0.2515,0.2025
0.5,0.25,0.15,0,1,0,0,0,0.33000000000000007,0.25,0.2875
0.5,0.4,0.0,0,0,1,0,0,0.36000000000000004,0.22,0.325
0.5,0.875,0.5,0,0,0,0,0,0.65,0.6125,0.6875
0.0,0.075,0.0,1,1,1,1,1,0.03,0.0225,0.0375
0.0,0.6,0.3,1,0,0,0,0,0.3,0.32999999999999996,0.375
0.75,0.99,0.7,0,0,0,0,0,0.8360000000000001,0.7969999999999999,0.8574999999999999
0.5,0.875,0.6,0,0,0,0,0,0.67,0.6625000000000001,0.7125
0.5,0.9450000000000001,0.2,0,0,0,0,0,0.6180000000000001,0.48350000000000004,0.6475000000000001
0.5,0.875,0.0,0,0,1,0,0,0.55,0.36250000000000004,0.5625
0.0,0.85,0.2,1,0,0,0,0,0.38,0.355,0.475
0.0,0.85,0.0,1,0,1,1,0,0.34,0.255,0.425
0.0,0.65,0.0,1,0,1,1,0,0.26,0.195,0.325
0.5,0.975,0.7,0,0,0,0,0,0.7300000000000001,0.7424999999999999,0.7875000000000001
0.75,0.375,0.0,0,0,1,0,0,0.45000000000000007,0.2625,0.375
0.0,0.65,0.0,1,0,1,1,0,0.26,0.195,0.325
0.0,0.9,0.0,1,0,1,1,0,0.36000000000000004,0.27,0.45
0.5,0.98,0.0,0,0,1,0,0,0.5920000000000001,0.394,0.615
0.75,0.525,0.0,0,0,1,0,0,0.51,0.3075,0.45
1.0,1.0,0.3,0,0,0,0,0,0.8600000000000001,0.65,0.825
0.25,0.45,0.0,0,0,1,0,1,0.28,0.185,0.2875
0.75,0.95,0.0,0,0,1,0,0,0.68,0.435,0.6625
0.5,0.8,0.0,0,0,1,0,0,0.52,0.33999999999999997,0.525
0.75,0.875,0.75,0,0,0,0,0,0.8000000000000002,0.7875000000000001,0.8125
0.5,0.4,0.0,0,0,1,0,0,0.36000000000000004,0.22,0.325
0.75,0.425,0.0,0,0,1,0,0,0.4700000000000001,0.2775,0.4
0.5,0.25,0.0,0,1,1,1,0,0.30000000000000004,0.175,0.25
0.5,0.875,0.0,0,0,1,0,0,0.55,0.36250000000000004,0.5625
0.5,0.325,0.0,0,0,1,0,0,0.33,0.1975,0.2875
0.25,0.875,0.0,0,0,1,0,0,0.45000000000000007,0.3125,0.5
0.0,0.7,0.0,1,0,1,1,0,0.27999999999999997,0.21,0.35
0.75,0.025,0.0,0,1,1,1,0,0.31000000000000005,0.15750000000000003,0.2
0.75,0.35,0.6,0,0,0,0,0,0.56,0.5549999999999999,0.5125
0.25,0.45,0.0,0,0,1,0,1,0.28,0.185,0.2875
0.5,0.225,0.2,0,1,0,0,0,0.33000000000000007,0.2675,0.2875
0.0,0.35,0.4,1,0,0,0,1,0.22,0.305,0.275
0.75,0.45,0.0,0,0,1,0,0,0.4800000000000001,0.28500000000000003,0.4125
0.75,0.9,0.25,0,0,0,0,0,0.7100000000000002,0.545,0.7
0.75,0.2,0.4,0,1,0,0,0,0.4600000000000001,0.41000000000000003,0.38749999999999996
0.0,0.2,0.0,1,1,1,1,1,0.08000000000000002,0.06,0.1
0.25,0.9,0.0,0,0,1,0,0,0.4600000000000001,0.32,0.5125
0.5,0.995,0.0,0,0,1,0,0,0.5980000000000001,0.39849999999999997,0.6225
0.0,0.1,0.0,1,1,1,1,1,0.04000000000000001,0.03,0.05
0.5,0.975,0.3,0,0,0,0,0,0.6500000000000001,0.5425,0.6875
0.5,0.01,0.0,0,1,1,1,0,0.20400000000000001,0.10300000000000001,0.13
0.0,0.3,0.2,1,0,0,0,1,0.16,0.19,0.2
0.0,0.015,0.4,1,1,0,1,1,0.08600000000000002,0.20450000000000002,0.10750000000000001
1.0,0.475,0.7,0,0,0,0,0,0.7300000000000001,0.6925,0.6625
0.0,0.025,0.35,1,1,0,1,1,0.07999999999999999,0.1825,0.09999999999999999
0.75,0.65,0.0,0,0,1,0,0,0.56,0.34500000000000003,0.5125
0.5,0.5,0.0,0,0,1,0,0,0.4,0.25,0.375
0.0,0.275,0.0,1,1,1,1,1,0.11000000000000001,0.0825,0.1375
0.25,0.675,0.0,0,0,1,0,0,0.37,0.2525,0.4
0.75,0.1,0.0,0,1,1,1,0,0.3400000000000001,0.18000000000000002,0.2375
0.75,0.2,0.0,0,1,1,1,0,0.38000000000000006,0.21000000000000002,0.2875
0.5,0.8,0.3,0,0,0,0,0,0.5800000000000001,0.49,0.6
0.25,0.505,0.2,0,0,0,0,0,0.3420000000000001,0.3015,0.365
0.75,0.275,0.0,0,1,1,1,0,0.41000000000000003,0.23250000000000004,0.325
0.5,0.2,0.4,0,1,0,0,0,0.36000000000000004,0.36,0.325
0.0,0.35,0.0,1,0,1,1,1,0.13999999999999999,0.105,0.175
0.75,0.3,0.4,0,0,0,0,0,0.5,0.44000000000000006,0.4375
0.75,0.45,0.3,0,0,0,0,0,0.54,0.43500000000000005,0.4875
0.5,0.35,0.0,0,0,1,0,0,0.33999999999999997,0.20500000000000002,0.3
0.75,0.3,0.5,0,0,0,0,0,0.52,0.49,0.4625
0.5,0.4,0.35,0,0,0,0,0,0.43000000000000005,0.395,0.4125
0.5,0.275,0.0,0,1,1,1,0,0.31000000000000005,0.1825,0.2625
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
