fragility_supplied,fragility_recovered_rule,h1,h2,h5,c22b,l1,fragility_prob,match
0,0,2,,2,1,8,0.013295408,True
0,0,2,,2,1,10,0.013295408,True
0,0,1,1.0,1,2,15,0.0096811233,True
0,0,1,1.0,1,2,6,0.0096811233,True
1,1,1,-9.0,2,1,-9,0.013295408,True
0,0,2,,2,1,29,0.013295408,True
0,0,1,1.0,1,2,25,0.0096811233,True
0,0,2,,2,1,6,0.013295408,True
1,1,1,2.0,2,2,172,0.83337283,True
0,0,1,2.0,2,1,5,0.013295408,True
0,0,2,,2,1,47,0.013295408,True
0,0,2,,2,1,6,0.013295408,True
0,0,1,2.0,1,1,5,2.6336633e-05,True
0,0,2,,2,1,180,0.013295408,True
0,0,2,,2,1,38,0.013295408,True
0,0,1,2.0,2,1,22,0.013295408,True
0,0,1,2.0,1,1,59,2.6336633e-05,True
0,0,1,2.0,1,1,93,2.6336633e-05,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,1,170,2.6336633e-05,True
0,0,1,2.0,1,1,18,2.6336633e-05,True
0,0,1,1.0,1,1,17,2.6336633e-05,True
0,0,1,2.0,1,1,230,2.6336633e-05,True
0,0,2,,1,1,11,2.6336633e-05,True
0,0,1,2.0,1,2,25,0.0096811233,True
0,0,1,1.0,1,2,6,0.0096811233,True
0,0,2,,2,1,270,0.013295408,True
0,0,1,2.0,1,1,16,2.6336633e-05,True
1,1,2,,2,2,6,0.83337283,True
0,0,2,,2,1,38,0.013295408,True
0,0,1,2.0,1,1,17,2.6336633e-05,True
0,0,1,1.0,1,1,30,2.6336633e-05,True
0,0,1,1.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,1,37,2.6336633e-05,True
0,0,1,1.0,2,2,20,0.83337283,True
0,0,1,1.0,2,1,208,0.013295408,True
0,0,1,1.0,1,2,10,0.0096811233,True
0,0,2,,2,1,8,0.013295408,True
1,1,2,,2,2,30,0.83337283,True
0,0,1,1.0,1,1,85,2.6336633e-05,True
0,0,1,1.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,2,12,0.0096811233,True
0,0,1,2.0,1,1,28,2.6336633e-05,True
0,0,1,1.0,1,1,80,2.6336633e-05,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,1,108,2.6336633e-05,True
1,1,2,,2,2,5,0.83337283,True
0,0,2,,2,1,143,0.013295408,True
0,0,1,2.0,1,1,320,2.6336633e-05,True
0,0,1,2.0,1,1,450,2.6336633e-05,True
0,0,1,-9.0,1,1,450,2.6336633e-05,True
0,0,1,2.0,1,1,7,2.6336633e-05,True
0,0,2,,2,1,22,0.013295408,True
0,0,2,,2,1,6,0.013295408,True
0,0,2,,2,1,120,0.013295408,True
0,0,1,1.0,2,1,37,0.013295408,True
0,0,1,1.0,2,2,32,0.83337283,True
0,0,2,,2,1,5,0.013295408,True
0,0,2,,2,1,6,0.013295408,True
0,0,1,1.0,2,1,22,0.013295408,True
0,0,1,1.0,1,1,16,2.6336633e-05,True
0,0,1,1.0,1,1,33,2.6336633e-05,True
1,1,1,2.0,2,2,9,0.83337283,True
0,0,1,1.0,1,1,6,2.6336633e-05,True
0,0,1,1.0,2,1,25,0.013295408,True
0,0,1,1.0,1,1,36,2.6336633e-05,True
0,0,1,2.0,1,2,10,0.0096811233,True
0,0,1,1.0,1,2,14,0.0096811233,True
0,0,1,1.0,2,2,6,0.83337283,True
0,0,1,2.0,1,1,7,2.6336633e-05,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,2,,1,1,10,2.6336633e-05,True
0,0,2,,2,1,7,0.013295408,True
0,0,1,1.0,2,2,14,0.83337283,True
0,0,1,1.0,1,2,7,0.0096811233,True
1,1,1,2.0,2,2,5,0.83337283,True
0,0,1,2.0,1,2,7,0.0096811233,True
