variable,system_missing,special_negative_codes,pct_any_missing
d33b,358,0,100.0
d36b,358,0,100.0
d4b,357,0,99.72067039106145
d40b,356,0,99.44134078212291
d14b,353,0,98.60335195530726
a9,352,0,98.32402234636872
d37,348,1,97.48603351955308
d36a,348,0,97.20670391061452
c41b,341,0,95.25139664804469
j7b,338,0,94.41340782122904
l11b1,337,0,94.1340782122905
l11a1,337,0,94.1340782122905
d4a,334,1,93.57541899441341
d35,334,0,93.29608938547486
d33a,334,0,93.29608938547486
d32,334,0,93.29608938547486
d34,334,0,93.29608938547486
h9,333,0,93.01675977653632
e35,330,0,92.17877094972067
c14,322,4,91.06145251396649
c13,322,2,90.50279329608938
c40b,323,0,90.22346368715084
l11b,320,2,89.94413407821229
l11a,320,2,89.94413407821229
c33,322,0,89.94413407821229
l38,318,3,89.66480446927375
l39,321,0,89.66480446927375
k5hdj1,320,0,89.3854748603352
k5i1,320,0,89.3854748603352
k5a1,320,0,89.3854748603352
k5f1,320,0,89.3854748603352
k5bc1,320,0,89.3854748603352
k5e1,320,0,89.3854748603352
n5d,317,0,88.54748603351955
n5c,317,0,88.54748603351955
l33,315,0,87.98882681564245
c35b,314,0,87.70949720670392
a7c,313,0,87.43016759776536
c4,308,5,87.43016759776536
a11,313,0,87.43016759776536
g32,309,3,87.15083798882682
c5,308,3,86.87150837988827
g33,309,0,86.31284916201118
j14,304,4,86.03351955307262
ge3a,308,0,86.03351955307262
c31,308,0,86.03351955307262
a7b,307,0,85.75418994413408
a7a,307,0,85.75418994413408
d1a6a,306,0,85.47486033519553
d1a6c,306,0,85.47486033519553
d1a6b,306,0,85.47486033519553
l12a1,306,0,85.47486033519553
d8,305,0,85.19553072625699
j15,304,0,84.91620111731844
a19m,302,0,84.35754189944134
a19h,302,0,84.35754189944134
n2i,283,13,82.68156424581005
o2,294,0,82.12290502793296
c9b,293,0,81.84357541899442
j12,289,4,81.84357541899442
j11,289,0,80.72625698324022
c37,286,1,80.16759776536313
c38,286,1,80.16759776536313
g5b,283,0,79.05027932960894
g5a,283,0,79.05027932960894
r9,283,0,79.05027932960894
d41,279,2,78.49162011173185
j39,280,1,78.49162011173185
c41a,279,1,78.2122905027933
l12a,279,0,77.93296089385476
d39,279,0,77.93296089385476
d14a,279,0,77.93296089385476
d40a,279,0,77.93296089385476
g4,267,10,77.37430167597765
j41,273,0,76.25698324022346
g3,267,1,74.86033519553072
j43,267,1,74.86033519553072
c35a,264,1,74.02234636871508
c40a,262,0,73.18435754189944
k5e,261,0,72.90502793296089
k5i,261,0,72.90502793296089
k5bc,261,0,72.90502793296089
k5a,261,0,72.90502793296089
k5f,261,0,72.90502793296089
k5hdj,261,0,72.90502793296089
n2e1,226,32,72.06703910614524
l36,252,2,70.94972067039106
l35,252,0,70.39106145251397
