variable,label,nonmissing_raw,missing_raw,special_negative_codes,mean_clean,min_clean,max_clean
h1,New Products/Services Introduced Over Last 3 Yrs,358,0,0,1.335195530726257,1.0,2.0
h2,New Products/Services Also New For Thr Establishment'S Main Market,238,120,2,1.5,1.0,2.0
h5,"During Last 3 Yrs, Establishment Introduced New/Significantly Improved Process",358,0,0,1.410614525139665,1.0,2.0
c22b,Establishment Has Its Own Website,358,0,0,1.488826815642458,1.0,2.0
l1,"Num. Permanent, Full-Time Employees At End of Last Fiscal Year",358,0,1,65.19047619047619,3.0,2100.0
wmedian,Weight according to median eligibility,358,0,0,7.19570255279541,1.0,28.14314079284668
wstrict,Weight according to strict eligibility,358,0,0,6.731550216674805,1.0,27.43655014038086
wweak,Weight according to weak eligibility,358,0,0,8.584389686584473,1.0,32.544986724853516
a2,Sampling Region,358,0,0,1.9832402234636872,1.0,3.0
a3a,Region of The Establishment,358,0,0,1.9636871508379887,1.0,3.0
a4a,Industry Sampling Sector,358,0,0,2.0502793296089385,1.0,3.0
a6a,Sampling Size,358,0,0,1.681564245810056,1.0,3.0
k82,Establishment Has A Line of Credit or Loan From A Financial Institution?,358,0,2,2.485955056179775,1.0,4.0
k162,"In Last FY, Did Establishment Apply For New Loans/Lines of Credit?",358,0,1,3.0056022408963585,1.0,4.0
k3a,% of Working Capital Financed From Internal Funds/Retained Earnings,358,0,0,71.75977653631286,0.0,100.0
k3bc,% of Working Capital Borrowed From Banks,358,0,0,16.93016759776536,0.0,100.0
k33,Percentage of payments received using e-payments,358,0,3,57.57464788732394,0.0,100.0
b6,Number of Full-Time Employees of The Establishment When It Started Operations,358,0,6,24.727272727272727,1.0,560.0
