variable,system_missing,special_negative_codes,pct_any_missing
d33b,358,0,100.0
d36b,358,0,100.0
d4b,357,0,99.72067039106145
d40b,356,0,99.44134078212291
d14b,353,0,98.60335195530726
a9,352,0,98.32402234636872
d37,348,1,97.48603351955308
d36a,348,0,97.20670391061452
c41b,341,0,95.25139664804469
j7b,338,0,94.41340782122904
l11b1,337,0,94.1340782122905
l11a1,337,0,94.1340782122905
d4a,334,1,93.57541899441341
d35,334,0,93.29608938547486
d33a,334,0,93.29608938547486
d32,334,0,93.29608938547486
d34,334,0,93.29608938547486
h9,333,0,93.01675977653632
e35,330,0,92.17877094972067
c14,322,4,91.06145251396649
c13,322,2,90.50279329608938
c40b,323,0,90.22346368715084
l11b,320,2,89.94413407821229
l11a,320,2,89.94413407821229
c33,322,0,89.94413407821229
